index,train_data_loc,train_label_xy
0,OBJ02634_PS3_K3_NIA0126.png,"[(336.6415449432134, 339.1612715196364), (349.42843018911503, 339.16127151963644), (349.42843018911503, 351.6538372840284), (336.6415449432134, 351.6538372840283)]"
0,OBJ02634_PS3_K3_NIA0126.png,"[(322.5874084582725, 352.4346226443028), (337.32625710486036, 352.4346226443028), (337.3262571048603, 364.9271884086947), (322.5874084582724, 364.9271884086947)]"
0,OBJ02634_PS3_K3_NIA0126.png,"[(312.82759145484135, 367.2695444895181), (329.1280108219782, 367.2695444895182), (329.12801082197814, 383.27564437514536), (312.8275914548413, 383.2756443751453)]"
0,OBJ02634_PS3_K3_NIA0126.png,"[(287.8424599260575, 390.3027126176158), (301.4101305322336, 390.3027126176158), (301.41013053223355, 406.3088125032429), (287.8424599260574, 406.3088125032429)]"
0,OBJ02634_PS3_K3_NIA0126.png,"[(305.41013053223367, 394.59703209912556), (321.7105498993705, 394.59703209912556), (321.71054989937045, 410.9935246648899), (305.4101305322336, 410.9935246648899)]"
0,OBJ02634_PS3_K3_NIA0126.png,"[(342.8878278254093, 351.26344460389106), (361.1402105932324, 351.2634446038911), (361.1402105932324, 369.22150789020446), (342.8878278254093, 369.2215078902044)]"
0,OBJ02634_PS3_K3_NIA0126.png,"[(333.9087961822527, 369.2215078902043), (349.81882286925224, 369.22150789020435), (349.81882286925224, 381.7140736545963), (333.9087961822527, 381.71407365459623)]"
0,OBJ02634_PS3_K3_NIA0126.png,"[(350.69568142815433, 378.5909322134984), (364.6537447144677, 378.5909322134984), (364.6537447144676, 392.254676018302), (350.6956814281543, 392.254676018302)]"
0,OBJ02634_PS3_K3_NIA0126.png,"[(336.64154494321343, 390.693105297753), (351.7707862699385, 390.693105297753), (351.77078626993847, 404.74724178269383), (336.6415449432134, 404.74724178269383)]"
0,OBJ02634_PS3_K3_NIA0126.png,"[(353.81882286925224, 396.54899549981167), (370.1192422363891, 396.5489954998117), (370.119242236389, 412.9454880655761), (353.8188228692522, 412.94548806557606)]"
0,OBJ02634_PS3_K3_NIA0126.png,"[(368.2633520343305, 383.27564437514536), (381.0502372802321, 383.27564437514536), (381.05023728023207, 398.11056622036074), (368.26335203433047, 398.11056622036074)]"
0,OBJ02634_PS3_K3_NIA0126.png,"[(374.50963491652635, 402.0144930217332), (389.2484835631142, 402.0144930217332), (389.2484835631142, 416.84941486694856), (374.50963491652635, 416.84941486694856)]"
0,OBJ02634_PS3_K3_NIA0126.png,"[(387.00220068091824, 390.27331571325436), (401.35065664736885, 390.27331571325436), (401.35065664736885, 403.1856710621449), (387.00220068091824, 403.1856710621449)]"
0,OBJ02634_PS3_K3_NIA0126.png,"[(317.88709644924785, 414.53646433610396), (330.0649444433798, 414.536464336104), (330.0649444433797, 430.42542218748355), (317.8870964492478, 430.4254221874835)]"
